case_id,trigger_type,flagged_txn_id,customer_id,card_id,opened_at,risk_score,amount,channel,ProductCD,card_testing_strength,card_testing_direction,cnp_strength,cnp_direction,cnp_new_device_strength,cnp_new_device_direction,out_of_region_strength,out_of_region_direction,account_takeover_strength,account_takeover_direction,new_device_strength,new_device_direction,proxy_network_strength,proxy_network_direction,identity_match_status_strength,identity_match_status_direction,shared_device_profile_strength,shared_device_profile_direction,channel_novelty_strength,channel_novelty_direction,product_novelty_strength,product_novelty_direction,post_flagged_activity_strength,post_flagged_activity_direction,out_of_region_behavior_strength,out_of_region_behavior_direction,email_novelty_strength,email_novelty_direction,historical_case_strength,historical_case_direction,repeated_historical_abuse_strength,repeated_historical_abuse_direction,historical_cleared_signal,strong_evidence_count,medium_evidence_count,weak_evidence_count,not_material_evidence_count,supporting_evidence_count,contradicting_evidence_count,context_evidence_count,independent_evidence_count,independent_evidence_groups,contradiction_count,fraud_probability,decision,stop_reason
HHG-001,risk_score,3514030,C12382,C12382-K1,2016-12-05T01:55:28,0.61,77.07,in_person,W,,,,,,,,,,,,,,,,,,,,,,,weak,context,,,,,strong,supports_fraud,strong,supports_fraud,,2,0,1,0,2,0,1,1,historical,0,,,
HHG-002,risk_score,3478782,C11891,C11891-K1,2016-11-22T23:27:07,0.79,292.36,online,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,supports_fraud,,,,0,1,0,0,1,0,0,1,historical,0,,,
HHG-003,customer_report,3530164,C08623,C08623-K2,2016-12-10T15:01:21,0.4,49.0,in_person,W,,,,,,,,,,,,,,,,,,,,,,,,,,,weak,context,strong,supports_fraud,strong,supports_fraud,medium,2,1,1,0,2,1,1,1,historical,1,,,
HHG-004,customer_report,3583227,C08106,C08106-K1,2016-12-29T07:53:54,0.34,128.33,online,C,,,medium,supports_fraud,medium,supports_fraud,,,,,medium,supports_fraud,,,,,not_material,context,,,,,,,,,,,strong,supports_fraud,strong,supports_fraud,medium,2,4,0,1,5,1,1,3,behavioral_pattern|historical|identity_device,1,,,
HHG-005,risk_score,3523199,C02923,C02923-K1,2016-12-08T03:38:37,0.54,100.07,online,R,,,,,medium,supports_fraud,,,,,medium,supports_fraud,,,weak,context,weak,context,,,,,,,,,weak,context,strong,supports_fraud,strong,supports_fraud,,2,2,3,0,4,0,3,3,behavioral_pattern|historical|identity_device,0,,,
HHG-006,customer_report,3476682,C07297,C07297-K1,2016-11-22T02:30:00,0.25,482.12,online,C,,,medium,supports_fraud,medium,supports_fraud,,,medium,supports_fraud,medium,supports_fraud,,,weak,context,weak,context,,,,,weak,context,,,weak,context,,,,,,0,4,4,0,4,0,4,3,behavioral_identity|behavioral_pattern|identity_device,0,,,
HHG-007,risk_score,3514948,C09933,C09933-K2,2016-12-05T03:46:14,0.87,111.92,in_person,W,,,,,,,,,,,,,,,,,,,,,,,weak,context,,,weak,context,strong,supports_fraud,strong,supports_fraud,medium,2,1,2,0,2,1,2,1,historical,1,,,
HHG-008,customer_report,3558054,C13171,C13171-K2,2016-12-20T03:08:56,0.38,55.68,online,C,,,,,,,,,,,,,,,,,not_material,context,,,,,,,,,,,strong,supports_fraud,strong,supports_fraud,medium,2,1,0,1,2,1,1,1,historical,1,,,
HHG-009,customer_report,3581141,C08299,C08299-K1,2016-12-28T17:10:53,0.28,30.02,online,S,,,,,,,,,,,,,,,weak,context,,,,,,,,,,,weak,context,,,,,,0,0,2,0,0,0,2,0,,0,,,
HHG-010,risk_score,3506725,C10434,C10434-K1,2016-12-02T18:18:27,0.9,1000.03,online,R,,,,,medium,supports_fraud,,,,,medium,supports_fraud,,,weak,context,weak,context,,,,,,,,,,,weak,context,,,medium,0,3,3,0,2,1,3,2,behavioral_pattern|identity_device,2,,,
