case_id,customer_id,flagged_txn_id,purchaser_email_seen_before,recipient_email_seen_before,email_novelty
HHG-001,C12382,3514030,False,False,False
HHG-002,C11891,3478782,True,True,False
HHG-003,C08623,3530164,True,False,True
HHG-004,C08106,3583227,True,True,False
HHG-005,C02923,3523199,False,True,True
HHG-006,C07297,3476682,True,False,True
HHG-007,C09933,3514948,True,False,True
HHG-008,C13171,3558054,True,True,False
HHG-009,C08299,3581141,False,True,True
HHG-010,C10434,3506725,True,True,False
HHG-011,C11923,3583368,True,True,False
HHG-012,C05876,3553342,True,False,True
HHG-013,C07671,3526826,True,True,False
HHG-014,C13487,3478561,True,True,False
HHG-015,C03042,3464869,True,True,False
HHG-016,C09988,3534820,True,True,False
HHG-017,C04570,3450629,True,True,False
HHG-018,C02354,3491361,False,False,False
HHG-019,C07987,3503878,True,True,False
HHG-020,C12265,3509359,True,False,True
