band,count,share_of_test,mean_predicted,observed_fraud_rate,absolute_error,small_sample
0.00-0.10,54,0.04851752021563342,0.04674285965758459,0.14814814814814814,0.10140528849056354,False
0.10-0.20,17,0.015274034141958671,0.1352379896625279,0.17647058823529413,0.04123259857276623,True
0.20-0.30,11,0.009883198562443846,0.23869325586829182,0.09090909090909091,0.1477841649592009,True
0.30-0.40,11,0.009883198562443846,0.3564955406089046,0.36363636363636365,0.007140823027459053,True
0.40-0.50,7,0.006289308176100629,0.4399679685619846,0.42857142857142855,0.011396539990556065,True
0.50-0.60,13,0.011680143755615454,0.5562671280798432,0.38461538461538464,0.1716517434644586,True
0.60-0.70,10,0.008984725965858042,0.6543378253488745,0.4,0.2543378253488745,True
0.70-0.80,18,0.016172506738544475,0.7619032195473526,0.4444444444444444,0.3174587751029082,True
0.80-0.90,13,0.011680143755615454,0.8502281333971939,0.9230769230769231,0.07284878967972919,True
0.90-1.00,959,0.8616352201257862,0.996228991582419,0.9958289885297185,0.00040000305270049274,False
