case_id,customer_id,opened_at,outcome,target_txn_id,target_selection,actual_fraud,fraud_probability,audit_group,confidence_error
CC-5538,C05062,2016-10-31 23:01:32,confirmed_fraud,3416070,first_fraud_txn_id,1,0.0201012865610622,low_probability_fraud,0.9798987134389378
CC-4546,C00426,2016-10-08 09:56:29,confirmed_fraud,3341244,first_fraud_txn_id,1,0.0293860483805758,low_probability_fraud,0.9706139516194242
CC-5181,C11204,2016-10-23 10:27:33,confirmed_fraud,3389846,first_fraud_txn_id,1,0.030028785798569,low_probability_fraud,0.969971214201431
CC-4621,C11595,2016-10-09 21:56:47,confirmed_fraud,3345845,first_fraud_txn_id,1,0.0317935829066936,low_probability_fraud,0.9682064170933063
CC-4896,C12018,2016-10-16 10:20:54,confirmed_fraud,3368771,first_fraud_txn_id,1,0.0428764156173949,low_probability_fraud,0.9571235843826051
CC-5289,C05611,2016-10-25 22:16:44,cleared,3397458,first_txn_ids,0,0.9558591917661432,high_probability_cleared,0.9558591917661432
CC-4923,C10852,2016-10-17 04:22:49,confirmed_fraud,3369240,first_fraud_txn_id,1,0.0457619553789224,low_probability_fraud,0.9542380446210776
CC-4955,C06299,2016-10-17 23:14:32,cleared,3372603,first_txn_ids,0,0.939022655630912,high_probability_cleared,0.939022655630912
CC-4596,C11842,2016-10-09 10:31:58,cleared,3347508,first_txn_ids,0,0.939022655630912,high_probability_cleared,0.939022655630912
CC-5428,C13478,2016-10-29 09:29:53,confirmed_fraud,3408140,first_fraud_txn_id,1,0.0664365559445122,low_probability_fraud,0.9335634440554879
CC-4531,C10364,2016-10-08 00:35:19,confirmed_fraud,3341265,first_fraud_txn_id,1,0.0697604215212557,low_probability_fraud,0.9302395784787443
CC-4492,C07858,2016-10-07 06:28:17,cleared,3340393,first_txn_ids,0,0.9050425034224876,high_probability_cleared,0.9050425034224876
CC-5380,C00071,2016-10-28 08:08:28,confirmed_fraud,3403088,first_fraud_txn_id,1,0.1450558741454276,middle_probability_case,0.8549441258545725
CC-5528,C08226,2016-10-31 18:08:00,confirmed_fraud,3412004,first_fraud_txn_id,1,0.1587873293115634,middle_probability_case,0.8412126706884366
CC-4505,C01618,2016-10-07 13:16:40,cleared,3341437,first_txn_ids,0,0.8085588383977889,middle_probability_case,0.8085588383977889
CC-5015,C07204,2016-10-19 05:22:45,confirmed_fraud,3371703,first_fraud_txn_id,1,0.1919217882453986,middle_probability_case,0.8080782117546014
CC-5296,C08755,2016-10-26 05:07:30,cleared,3397650,first_txn_ids,0,0.796602531091762,middle_probability_case,0.796602531091762
CC-5234,C01109,2016-10-24 09:28:11,cleared,3392482,first_txn_ids,0,0.7903477706350145,middle_probability_case,0.7903477706350145
