case_id,benchmark_customer_id,historical_case_id,historical_card_id,opened_at,closed_at,outcome,pattern,first_fraud_txn_id,n_txns,exposure_usd,connected_card_ids,report_filed
HHG-001,C12382,CC-1066,C12382-K1,2016-07-24T03:41:00,2016-07-29T18:41:00,confirmed_fraud,out_of_region_use,3090135.0,1,170.98,,No
HHG-001,C12382,CC-1673,C12382-K1,2016-08-04T19:29:12,2016-08-06T00:29:12,confirmed_fraud,card_not_present_new_device,3140508.0,1,199.98,,No
HHG-001,C12382,CC-2964,C12382-K1,2016-09-03T00:50:57,2016-09-05T22:50:57,confirmed_fraud,out_of_region_use,3226855.0,1,171.08,,No
HHG-001,C12382,CC-3587,C12382-K1,2016-09-17T04:08:08,2016-09-21T01:08:08,confirmed_fraud,out_of_region_use,3271314.0,1,49.09,,No
HHG-002,C11891,CC-4160,C11891-K1,2016-09-30T08:59:51,2016-10-02T18:59:51,confirmed_fraud,card_not_present_fraud,3311844.0,1,90.54,,No
HHG-003,C08623,CC-1589,C08623-K2,2016-08-03T00:37:36,2016-08-05T21:37:36,cleared,none,,1,0.0,,No
HHG-003,C08623,CC-2817,C08623-K2,2016-08-31T03:17:33,2016-09-03T20:17:33,confirmed_fraud,out_of_region_use,3220442.0,1,38.96,,No
HHG-003,C08623,CC-2935,C08623-K2,2016-09-02T08:49:06,2016-09-04T05:49:06,confirmed_fraud,out_of_region_use,3227871.0,2,238.0,,No
HHG-003,C08623,CC-3327,C08623-K2,2016-09-11T01:49:57,2016-09-13T04:49:57,confirmed_fraud,account_takeover,3252324.0,3,528.69,,No
HHG-003,C08623,CC-3682,C08623-K2,2016-09-19T08:55:46,2016-09-24T03:55:46,confirmed_fraud,out_of_region_use,3275452.0,2,300.51,,No
HHG-003,C08623,CC-4957,C08623-K2,2016-10-18T00:16:26,2016-10-22T22:16:26,confirmed_fraud,out_of_region_use,3371052.0,1,48.02,,No
HHG-004,C08106,CC-0696,C08106-K1,2016-07-18T05:30:15,2016-07-19T00:30:15,cleared,none,,1,0.0,,No
HHG-004,C08106,CC-1736,C08106-K1,2016-08-06T00:08:22,2016-08-07T20:08:22,confirmed_fraud,card_not_present_fraud,3146481.0,1,9.9,,No
HHG-004,C08106,CC-2121,C08106-K1,2016-08-14T20:40:42,2016-08-16T01:40:42,confirmed_fraud,card_not_present_fraud,3172456.0,1,102.68,,No
HHG-004,C08106,CC-3778,C08106-K1,2016-09-21T09:52:21,2016-09-25T23:52:21,confirmed_fraud,card_not_present_fraud,3285800.0,1,58.42,,No
HHG-005,C02923,CC-2400,C02923-K1,2016-08-20T20:57:31,2016-08-25T16:57:31,confirmed_fraud,account_takeover,3185646.0,3,350.99,,No
HHG-005,C02923,CC-2717,C02923-K1,2016-08-28T16:04:23,2016-09-02T19:04:23,confirmed_fraud,account_takeover,3205296.0,6,896.08,,No
HHG-005,C02923,CC-2857,C02923-K1,2016-09-01T00:18:13,2016-09-05T22:18:13,confirmed_fraud,account_takeover,3220814.0,2,539.97,,No
HHG-007,C09933,CC-0104,C09933-K2,2016-07-05T15:32:11,2016-07-08T15:32:11,confirmed_fraud,out_of_region_use,3007244.0,1,92.02,,No
HHG-007,C09933,CC-0657,C09933-K2,2016-07-17T08:58:08,2016-07-20T02:58:08,cleared,none,,1,0.0,,No
HHG-007,C09933,CC-0765,C09933-K2,2016-07-19T14:13:43,2016-07-24T19:13:43,confirmed_fraud,out_of_region_use,3035514.0,13,1664.54,,Yes
HHG-007,C09933,CC-1228,C09933-K2,2016-07-26T15:26:52,2016-07-28T17:26:52,confirmed_fraud,account_takeover,3074366.0,10,1112.65,,Yes
HHG-007,C09933,CC-1524,C09933-K2,2016-08-01T05:19:36,2016-08-05T01:19:36,confirmed_fraud,account_takeover,3114927.0,14,3532.83,,Yes
HHG-007,C09933,CC-1682,C09933-K2,2016-08-04T22:32:03,2016-08-06T20:32:03,confirmed_fraud,out_of_region_use,3143118.0,1,206.01,,No
HHG-007,C09933,CC-2565,C09933-K2,2016-08-24T23:06:30,2016-08-28T21:06:30,confirmed_fraud,out_of_region_use,3189882.0,6,513.8,,No
HHG-007,C09933,CC-2834,C09933-K2,2016-08-31T11:53:37,2016-09-03T18:53:37,confirmed_fraud,account_takeover,3215295.0,4,387.92,,No
HHG-007,C09933,CC-2986,C09933-K2,2016-09-03T11:18:11,2016-09-05T01:18:11,confirmed_fraud,out_of_region_use,3230964.0,1,210.02,,No
HHG-007,C09933,CC-3136,C09933-K2,2016-09-06T17:41:27,2016-09-08T02:41:27,confirmed_fraud,account_takeover,3241674.0,1,73.99,,No
HHG-007,C09933,CC-3439,C09933-K2,2016-09-13T20:39:39,2016-09-16T00:39:39,confirmed_fraud,out_of_region_use,3255549.0,3,454.82,,No
HHG-007,C09933,CC-3821,C09933-K2,2016-09-22T11:28:04,2016-09-27T23:28:04,confirmed_fraud,out_of_region_use,3274830.0,6,1137.05,,Yes
HHG-007,C09933,CC-4196,C09933-K2,2016-10-01T01:34:51,2016-10-05T20:34:51,confirmed_fraud,out_of_region_use,3304612.0,4,546.94,,No
HHG-007,C09933,CC-4277,C09933-K2,2016-10-03T00:39:11,2016-10-07T14:39:11,confirmed_fraud,out_of_region_use,3322706.0,1,209.86,,No
HHG-007,C09933,CC-4455,C09933-K2,2016-10-06T14:46:42,2016-10-10T17:46:42,confirmed_fraud,account_takeover,3332883.0,3,234.84,,No
HHG-007,C09933,CC-4597,C09933-K2,2016-10-09T10:42:26,2016-10-15T00:42:26,confirmed_fraud,account_takeover,3347174.0,1,68.91,,No
HHG-007,C09933,CC-4787,C09933-K2,2016-10-13T15:55:51,2016-10-17T18:55:51,confirmed_fraud,account_takeover,3356275.0,4,804.14,,No
HHG-007,C09933,CC-5092,C09933-K2,2016-10-21T03:28:03,2016-10-26T20:28:03,confirmed_fraud,out_of_region_use,3375430.0,3,215.07,,No
HHG-007,C09933,CC-5521,C09933-K2,2016-10-31T13:33:09,2016-11-01T20:33:09,confirmed_fraud,account_takeover,3392668.0,9,730.52,,No
HHG-008,C13171,CC-0056,C13171-K2,2016-07-04T18:17:38,2016-07-06T15:17:38,confirmed_fraud,card_not_present_new_device,3003521.0,1,40.21,,No
HHG-008,C13171,CC-0467,C13171-K2,2016-07-13T20:52:43,2016-07-14T15:52:43,confirmed_fraud,card_not_present_new_device,3012791.0,8,649.77,,No
HHG-008,C13171,CC-0772,C13171-K2,2016-07-19T16:55:19,2016-07-23T11:55:19,confirmed_fraud,card_not_present_new_device,3050677.0,3,183.27,,No
HHG-008,C13171,CC-1293,C13171-K2,2016-07-27T18:06:16,2016-07-29T03:06:16,confirmed_fraud,card_not_present_fraud,3081145.0,10,419.34,,No
HHG-008,C13171,CC-1715,C13171-K2,2016-08-05T10:56:44,2016-08-11T03:56:44,confirmed_fraud,card_not_present_new_device,3119886.0,8,553.72,,No
HHG-008,C13171,CC-1925,C13171-K2,2016-08-10T01:01:53,2016-08-12T19:01:53,confirmed_fraud,card_not_present_fraud,3154582.0,3,120.3,,No
HHG-008,C13171,CC-2059,C13171-K2,2016-08-13T10:30:46,2016-08-15T01:30:46,confirmed_fraud,card_not_present_new_device,3165986.0,4,116.95,,No
HHG-008,C13171,CC-2244,C13171-K2,2016-08-17T11:58:15,2016-08-22T20:58:15,confirmed_fraud,card_not_present_new_device,3180292.0,1,110.46,,No
HHG-008,C13171,CC-2454,C13171-K2,2016-08-22T09:15:15,2016-08-23T21:15:15,confirmed_fraud,card_not_present_fraud,3190392.0,3,86.69,,No
HHG-008,C13171,CC-2716,C13171-K2,2016-08-28T15:53:02,2016-09-03T02:53:02,confirmed_fraud,card_not_present_new_device,3203970.0,6,253.69,,No
HHG-008,C13171,CC-3079,C13171-K2,2016-09-05T09:25:32,2016-09-10T19:25:32,confirmed_fraud,card_not_present_new_device,3224407.0,14,847.02,,No
