case_id,customer_id,historical_case_count,historical_confirmed_count,historical_cleared_count,historical_patterns,historical_exposure,historical_report_count,latest_historical_case
HHG-001,C12382,4,4,0,"[""card_not_present_new_device"", ""out_of_region_use""]",591.13,0,"{""case_id"": ""CC-3587"", ""opened_at"": ""2016-09-17T04:08:08"", ""closed_at"": ""2016-09-21T01:08:08"", ""outcome"": ""confirmed_fraud"", ""pattern"": ""out_of_region_use""}"
HHG-002,C11891,1,1,0,"[""card_not_present_fraud""]",90.54,0,"{""case_id"": ""CC-4160"", ""opened_at"": ""2016-09-30T08:59:51"", ""closed_at"": ""2016-10-02T18:59:51"", ""outcome"": ""confirmed_fraud"", ""pattern"": ""card_not_present_fraud""}"
HHG-003,C08623,6,5,1,"[""account_takeover"", ""none"", ""out_of_region_use""]",1154.18,0,"{""case_id"": ""CC-4957"", ""opened_at"": ""2016-10-18T00:16:26"", ""closed_at"": ""2016-10-22T22:16:26"", ""outcome"": ""confirmed_fraud"", ""pattern"": ""out_of_region_use""}"
HHG-004,C08106,4,3,1,"[""card_not_present_fraud"", ""none""]",171.0,0,"{""case_id"": ""CC-3778"", ""opened_at"": ""2016-09-21T09:52:21"", ""closed_at"": ""2016-09-25T23:52:21"", ""outcome"": ""confirmed_fraud"", ""pattern"": ""card_not_present_fraud""}"
HHG-005,C02923,3,3,0,"[""account_takeover""]",1787.0400000000002,0,"{""case_id"": ""CC-2857"", ""opened_at"": ""2016-09-01T00:18:13"", ""closed_at"": ""2016-09-05T22:18:13"", ""outcome"": ""confirmed_fraud"", ""pattern"": ""account_takeover""}"
HHG-006,C07297,0,0,0,[],0.0,0,null
HHG-007,C09933,19,18,1,"[""account_takeover"", ""none"", ""out_of_region_use""]",12195.93,4,"{""case_id"": ""CC-5521"", ""opened_at"": ""2016-10-31T13:33:09"", ""closed_at"": ""2016-11-01T20:33:09"", ""outcome"": ""confirmed_fraud"", ""pattern"": ""account_takeover""}"
HHG-008,C13171,19,18,1,"[""card_not_present_fraud"", ""card_not_present_new_device"", ""none""]",5190.34,0,"{""case_id"": ""CC-5010"", ""opened_at"": ""2016-10-19T03:56:05"", ""closed_at"": ""2016-10-23T05:56:05"", ""outcome"": ""confirmed_fraud"", ""pattern"": ""card_not_present_new_device""}"
HHG-009,C08299,0,0,0,[],0.0,0,null
HHG-010,C10434,1,0,1,"[""none""]",0.0,0,"{""case_id"": ""CC-0873"", ""opened_at"": ""2016-07-21T11:56:18"", ""closed_at"": ""2016-07-23T05:56:18"", ""outcome"": ""cleared"", ""pattern"": ""none""}"
HHG-011,C11923,11,10,1,"[""card_not_present_new_device"", ""card_testing"", ""none""]",11095.35,5,"{""case_id"": ""CC-4743"", ""opened_at"": ""2016-10-12T10:17:15"", ""closed_at"": ""2016-10-14T03:17:15"", ""outcome"": ""cleared"", ""pattern"": ""none""}"
HHG-012,C05876,2,1,1,"[""card_not_present_fraud"", ""none""]",149.99,0,"{""case_id"": ""CC-2370"", ""opened_at"": ""2016-08-20T03:47:41"", ""closed_at"": ""2016-08-22T20:47:41"", ""outcome"": ""confirmed_fraud"", ""pattern"": ""card_not_present_fraud""}"
HHG-013,C07671,4,3,1,"[""account_takeover"", ""card_not_present_new_device"", ""none""]",2263.96,1,"{""case_id"": ""CC-4294"", ""opened_at"": ""2016-10-03T08:02:00"", ""closed_at"": ""2016-10-08T22:02:00"", ""outcome"": ""confirmed_fraud"", ""pattern"": ""account_takeover""}"
HHG-014,C13487,0,0,0,[],0.0,0,null
HHG-015,C03042,3,2,1,"[""card_not_present_new_device"", ""none""]",350.04,0,"{""case_id"": ""CC-3886"", ""opened_at"": ""2016-09-24T10:19:55"", ""closed_at"": ""2016-09-27T07:19:55"", ""outcome"": ""confirmed_fraud"", ""pattern"": ""card_not_present_new_device""}"
HHG-016,C09988,0,0,0,[],0.0,0,null
HHG-017,C04570,1,0,1,"[""none""]",0.0,0,"{""case_id"": ""CC-1383"", ""opened_at"": ""2016-07-29T01:30:41"", ""closed_at"": ""2016-08-01T00:30:41"", ""outcome"": ""cleared"", ""pattern"": ""none""}"
HHG-018,C02354,20,19,1,"[""account_takeover"", ""card_not_present_fraud"", ""none"", ""out_of_region_use""]",19262.22,8,"{""case_id"": ""CC-5558"", ""opened_at"": ""2016-11-01T12:12:15"", ""closed_at"": ""2016-11-06T23:12:15"", ""outcome"": ""confirmed_fraud"", ""pattern"": ""card_not_present_fraud""}"
HHG-019,C07987,4,3,1,"[""card_not_present_fraud"", ""none"", ""out_of_region_use""]",3519.67,1,"{""case_id"": ""CC-5026"", ""opened_at"": ""2016-10-19T12:21:43"", ""closed_at"": ""2016-10-20T18:21:43"", ""outcome"": ""confirmed_fraud"", ""pattern"": ""out_of_region_use""}"
HHG-020,C12265,2,2,0,"[""account_takeover""]",115.88000000000001,0,"{""case_id"": ""CC-2447"", ""opened_at"": ""2016-08-22T05:40:17"", ""closed_at"": ""2016-08-26T16:40:17"", ""outcome"": ""confirmed_fraud"", ""pattern"": ""account_takeover""}"
