case_id,risk_score,strong_evidence_count,medium_evidence_count,weak_evidence_count,not_material_evidence_count,supporting_evidence_count,contradicting_evidence_count,context_evidence_count,strong_support_count,medium_support_count,weak_support_count,strong_contradiction_count,medium_contradiction_count,weak_contradiction_count,independent_evidence_count,independent_evidence_groups,historical_cleared_signal,evidence_signature,candidate_evidence_band
HHG-001,0.61,1,0,1,0,1,0,1,1,0,0,0,0,0,1,historical,,strong_support=1|medium_support=0|weak_support=0|strong_contradiction=0|medium_contradiction=0|weak_contradiction=0|context=1|independent=1|groups=historical,limited_independent_evidence
HHG-002,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,historical,,strong_support=0|medium_support=0|weak_support=0|strong_contradiction=0|medium_contradiction=0|weak_contradiction=0|context=0|independent=1|groups=historical,limited_independent_evidence
HHG-003,0.4,1,1,1,0,1,1,1,1,0,0,0,1,0,1,historical,medium,strong_support=1|medium_support=0|weak_support=0|strong_contradiction=0|medium_contradiction=1|weak_contradiction=0|context=1|independent=1|groups=historical,limited_independent_evidence
HHG-004,0.34,1,4,0,1,4,1,1,1,3,0,0,1,0,3,behavioral_pattern|historical|identity_device,medium,strong_support=1|medium_support=3|weak_support=0|strong_contradiction=0|medium_contradiction=1|weak_contradiction=0|context=1|independent=3|groups=behavioral_pattern|historical|identity_device,substantial_evidence_convergence
HHG-005,0.54,1,2,3,0,3,0,3,1,2,0,0,0,0,3,behavioral_pattern|historical|identity_device,,strong_support=1|medium_support=2|weak_support=0|strong_contradiction=0|medium_contradiction=0|weak_contradiction=0|context=3|independent=3|groups=behavioral_pattern|historical|identity_device,substantial_evidence_convergence
HHG-006,0.25,0,4,4,0,4,0,4,0,4,0,0,0,0,3,behavioral_identity|behavioral_pattern|identity_device,,strong_support=0|medium_support=4|weak_support=0|strong_contradiction=0|medium_contradiction=0|weak_contradiction=0|context=4|independent=3|groups=behavioral_identity|behavioral_pattern|identity_device,substantial_evidence_convergence
HHG-007,0.87,1,1,2,0,1,1,2,1,0,0,0,1,0,1,historical,medium,strong_support=1|medium_support=0|weak_support=0|strong_contradiction=0|medium_contradiction=1|weak_contradiction=0|context=2|independent=1|groups=historical,limited_independent_evidence
HHG-008,0.38,1,1,0,1,1,1,1,1,0,0,0,1,0,1,historical,medium,strong_support=1|medium_support=0|weak_support=0|strong_contradiction=0|medium_contradiction=1|weak_contradiction=0|context=1|independent=1|groups=historical,limited_independent_evidence
HHG-009,0.28,0,0,2,0,0,0,2,0,0,0,0,0,0,0,,,strong_support=0|medium_support=0|weak_support=0|strong_contradiction=0|medium_contradiction=0|weak_contradiction=0|context=2|independent=0|groups=,insufficient_supporting_evidence
HHG-010,0.9,0,3,2,0,2,1,2,0,2,0,0,1,0,2,behavioral_pattern|identity_device,medium,strong_support=0|medium_support=2|weak_support=0|strong_contradiction=0|medium_contradiction=1|weak_contradiction=0|context=2|independent=2|groups=behavioral_pattern|identity_device,moderate_evidence_convergence
HHG-011,0.39,2,4,1,0,5,1,1,2,3,0,0,1,0,4,behavioral_pattern|historical|identity_device|network,medium,strong_support=2|medium_support=3|weak_support=0|strong_contradiction=0|medium_contradiction=1|weak_contradiction=0|context=1|independent=4|groups=behavioral_pattern|historical|identity_device|network,high_evidence_convergence
HHG-012,0.55,0,1,1,0,0,1,1,0,0,0,0,1,0,1,historical,medium,strong_support=0|medium_support=0|weak_support=0|strong_contradiction=0|medium_contradiction=1|weak_contradiction=0|context=1|independent=1|groups=historical,limited_independent_evidence
HHG-013,0.76,1,4,2,0,4,1,2,1,3,0,0,1,0,4,behavioral_identity|behavioral_pattern|historical|identity_device,medium,strong_support=1|medium_support=3|weak_support=0|strong_contradiction=0|medium_contradiction=1|weak_contradiction=0|context=2|independent=4|groups=behavioral_identity|behavioral_pattern|historical|identity_device,substantial_evidence_convergence
HHG-014,0.05,0,4,3,0,4,0,3,0,4,0,0,0,0,4,behavioral_identity|behavioral_pattern|identity_device|identity_network,,strong_support=0|medium_support=4|weak_support=0|strong_contradiction=0|medium_contradiction=0|weak_contradiction=0|context=3|independent=4|groups=behavioral_identity|behavioral_pattern|identity_device|identity_network,substantial_evidence_convergence
HHG-015,0.77,1,4,2,0,4,1,2,1,3,0,0,1,0,4,behavioral_identity|behavioral_pattern|historical|identity_device,medium,strong_support=1|medium_support=3|weak_support=0|strong_contradiction=0|medium_contradiction=1|weak_contradiction=0|context=2|independent=4|groups=behavioral_identity|behavioral_pattern|historical|identity_device,substantial_evidence_convergence
HHG-016,0.37,0,2,1,0,2,0,1,0,2,0,0,0,0,2,behavioral_pattern|identity_device,,strong_support=0|medium_support=2|weak_support=0|strong_contradiction=0|medium_contradiction=0|weak_contradiction=0|context=1|independent=2|groups=behavioral_pattern|identity_device,moderate_evidence_convergence
HHG-017,0.57,0,3,2,0,2,1,2,0,2,0,0,1,0,2,behavioral_pattern|identity_network,medium,strong_support=0|medium_support=2|weak_support=0|strong_contradiction=0|medium_contradiction=1|weak_contradiction=0|context=2|independent=2|groups=behavioral_pattern|identity_network,moderate_evidence_convergence
HHG-018,0.48,1,1,1,0,1,1,1,1,0,0,0,1,0,1,historical,medium,strong_support=1|medium_support=0|weak_support=0|strong_contradiction=0|medium_contradiction=1|weak_contradiction=0|context=1|independent=1|groups=historical,limited_independent_evidence
