case_id,label,outcome,customer_id,target_txn_id,target_selection,opened_at,closed_at,target_ts,target_after_case_open,risk_score,amount,channel,ProductCD,strong_evidence_count,medium_evidence_count,weak_evidence_count,not_material_evidence_count,supporting_evidence_count,contradicting_evidence_count,context_evidence_count,strong_support_count,medium_support_count,weak_support_count,strong_contradiction_count,medium_contradiction_count,weak_contradiction_count,independent_evidence_count,independent_evidence_groups,contradiction_count,card_testing,cnp,cnp_new_device,account_takeover,out_of_region,new_device,proxy_network,channel_novelty,product_novelty,out_of_region_behavior,repeated_historical_abuse,shared_device_profile,card_testing_strength,cnp_strength,cnp_new_device_strength,account_takeover_strength,out_of_region_strength,new_device_strength,proxy_network_strength,channel_novelty_strength,product_novelty_strength,out_of_region_behavior_strength,email_novelty_strength,post_flagged_activity_strength,shared_device_profile_strength,historical_case_strength,historical_cleared_signal,repeated_historical_abuse_strength,historical_case_count,historical_confirmed_count,historical_cleared_count,shared_device_customer_count,shared_device_other_customer_count,shared_device_transaction_count,device_profile_specificity,txn_count_24h,txn_count_48h,txn_count_7d,txn_count_30d,online_count_24h,online_count_48h,online_count_7d,in_person_count_7d,small_auth_count_24h,small_auth_count_48h,small_auth_count_7d,post_flagged_activity_until_case_open,is_new_region,home_activity_continues,modal_home_region_proxy,purchaser_email_seen_before,recipient_email_seen_before,email_novelty,feature_cutoff
CC-0001,1,confirmed_fraud,C00259,3000120,first_fraud_txn_id,2016-07-02 07:17:26,2016-07-06 01:17:26,2016-07-02 01:17:26,False,0.26,155.43,online,C,0,0,3,0,2,0,1,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,weak,weak,,weak,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,0,0,1,2016-07-02 07:17:26
CC-0002,1,confirmed_fraud,C06403,3000332,first_fraud_txn_id,2016-07-02 08:51:57,2016-07-04 05:51:57,2016-07-02 05:51:57,False,0.73,117.05,in_person,W,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,weak,,,,,,0,0,0,0,0,0,0,3,3,3,3,0,0,0,3,0,0,0,0,0,0,476.0,1,0,1,2016-07-02 08:51:57
CC-0003,0,cleared,C05876,3000607,first_txn_ids,2016-07-02 16:34:01,2016-07-05 13:34:01,2016-07-02 13:34:01,False,0.91,442.92,in_person,W,0,0,4,0,2,0,2,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,weak,weak,,weak,weak,,,,,0,0,0,0,0,0,0,2,2,2,2,0,0,0,2,0,0,0,1,1,0,,0,0,1,2016-07-02 16:34:01
CC-0004,1,confirmed_fraud,C13440,3000906,first_fraud_txn_id,2016-07-02 20:05:35,2016-07-05 17:05:35,2016-07-02 16:09:07,False,0.33,226.01,in_person,W,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,weak,,,,,0,0,0,0,0,0,0,436,436,436,436,0,0,0,436,0,0,0,161,0,1,325.0,0,0,0,2016-07-02 20:05:35
CC-0005,1,confirmed_fraud,C08945,3000183,first_fraud_txn_id,2016-07-02 21:10:20,2016-07-04 02:10:20,2016-07-02 02:10:20,False,0.47,39.92,in_person,W,0,0,2,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,weak,weak,,,,,0,0,0,0,0,0,0,31,31,31,31,2,2,2,29,0,0,0,23,0,1,220.0,0,0,1,2016-07-02 21:10:20
CC-0006,1,confirmed_fraud,C11227,3001230,first_fraud_txn_id,2016-07-02 21:21:35,2016-07-08 18:21:35,2016-07-02 18:21:35,False,0.2,265.07,in_person,W,0,0,2,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,weak,weak,,,,,0,0,0,0,0,0,0,5,5,5,5,2,2,2,3,0,0,0,1,1,0,337.0,0,0,1,2016-07-02 21:21:35
CC-0007,1,confirmed_fraud,C00732,3000264,first_fraud_txn_id,2016-07-03 00:45:04,2016-07-07 03:45:04,2016-07-02 03:45:04,False,0.33,99.91,online,H,0,1,3,0,3,0,1,0,1,2,0,0,0,1,network,0,0,0,0,0,0,0,0,1,1,0,0,1,,,,,,,,weak,weak,,weak,,medium,,,,0,0,0,3,2,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,0,0,1,2016-07-03 00:45:04
CC-0008,1,confirmed_fraud,C03667,3001018,first_fraud_txn_id,2016-07-03 00:56:48,2016-07-04 16:56:48,2016-07-02 16:56:48,False,0.84,49.04,in_person,W,0,0,3,0,2,0,1,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,weak,weak,,weak,,,,,,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,,0,0,1,2016-07-03 00:56:48
CC-0009,0,cleared,C10112,3002486,first_txn_ids,2016-07-03 05:55:45,2016-07-06 01:55:45,2016-07-03 01:55:45,False,0.84,149.98,online,R,0,3,4,0,5,0,2,0,3,2,0,0,0,2,behavioral_pattern|identity_device,0,0,1,1,0,0,1,0,1,1,0,0,0,,medium,medium,,,medium,,weak,weak,,weak,weak,,,,,0,0,0,0,0,0,4,2,2,2,2,2,2,2,0,0,0,0,1,0,0,,0,0,1,2016-07-03 05:55:45
CC-0010,0,cleared,C03246,3002792,first_txn_ids,2016-07-03 07:04:50,2016-07-04 04:04:50,2016-07-03 04:04:50,False,0.83,96.95,online,C,0,1,4,0,3,0,2,0,1,2,0,0,0,1,identity_device,0,0,0,0,0,0,1,0,1,1,0,0,1,,,,,,medium,,weak,weak,,weak,,weak,,,,0,0,0,25,24,64,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,0,0,1,2016-07-03 07:04:50
