feature_a,feature_b,spearman_correlation,absolute_correlation,flag_high_correlation,flag_moderate_correlation
out_of_region,out_of_region_behavior,1.0,1.0,True,True
weak_support_count,product_novelty,0.9979611278075817,0.9979611278075817,True,True
strong_support_count,repeated_historical_abuse,0.9409047679785356,0.9409047679785356,False,True
weak_support_count,channel_novelty,0.8312660618143418,0.8312660618143418,False,True
medium_support_count,independent_evidence_count,0.7998131345789457,0.7998131345789457,False,False
channel_novelty,product_novelty,0.7940926991187749,0.7940926991187749,False,False
cnp,cnp_new_device,0.6615811340947342,0.6615811340947342,False,False
medium_support_count,new_device,0.651366675785179,0.651366675785179,False,False
medium_support_count,cnp,0.6104688819332729,0.6104688819332729,False,False
independent_evidence_count,account_takeover,0.5853691558437204,0.5853691558437204,False,False
independent_evidence_count,new_device,0.5646553425477033,0.5646553425477033,False,False
medium_support_count,cnp_new_device,0.5438255581678515,0.5438255581678515,False,False
medium_support_count,shared_device_profile,0.5434648545295782,0.5434648545295782,False,False
independent_evidence_count,cnp,0.5140031526623133,0.5140031526623133,False,False
cnp_new_device,new_device,0.5093250606802269,0.5093250606802269,False,False
new_device,shared_device_profile,0.49659340653232303,0.49659340653232303,False,False
independent_evidence_count,shared_device_profile,0.4882062510085653,0.4882062510085653,False,False
medium_support_count,account_takeover,0.45346433837027383,0.45346433837027383,False,False
independent_evidence_count,cnp_new_device,0.44875840989828475,0.44875840989828475,False,False
strong_support_count,independent_evidence_count,0.42335503846981076,0.42335503846981076,False,False
account_takeover,shared_device_profile,0.40938856858553024,0.40938856858553024,False,False
medium_contradiction_count,repeated_historical_abuse,0.4083758653763093,0.4083758653763093,False,False
strong_support_count,medium_contradiction_count,0.3891900528898622,0.3891900528898622,False,False
weak_support_count,repeated_historical_abuse,-0.35531644400863005,0.35531644400863005,False,False
product_novelty,repeated_historical_abuse,-0.35495707132945153,0.35495707132945153,False,False
account_takeover,new_device,0.3238452641980456,0.3238452641980456,False,False
strong_support_count,weak_support_count,-0.3219447730150926,0.3219447730150926,False,False
strong_support_count,product_novelty,-0.31927404577061075,0.31927404577061075,False,False
context_evidence_count,shared_device_profile,0.31649608048683503,0.31649608048683503,False,False
cnp,shared_device_profile,0.3060385333865135,0.3060385333865135,False,False
risk_score,new_device,0.2977194796498518,0.2977194796498518,False,False
channel_novelty,repeated_historical_abuse,-0.29218294044396087,0.29218294044396087,False,False
medium_support_count,repeated_historical_abuse,-0.29096572568300966,0.29096572568300966,False,False
strong_support_count,channel_novelty,-0.2851653159639128,0.2851653159639128,False,False
cnp_new_device,shared_device_profile,0.2669711196688392,0.2669711196688392,False,False
independent_evidence_count,repeated_historical_abuse,0.25413360314703654,0.25413360314703654,False,False
strong_support_count,account_takeover,0.2515345091477585,0.2515345091477585,False,False
independent_evidence_count,proxy_network,0.24838913899888498,0.24838913899888498,False,False
medium_support_count,proxy_network,0.2452086029654616,0.2452086029654616,False,False
context_evidence_count,account_takeover,0.2318137084995573,0.2318137084995573,False,False
cnp,new_device,0.22058993032823918,0.22058993032823918,False,False
weak_support_count,medium_contradiction_count,-0.21732899487463903,0.21732899487463903,False,False
medium_contradiction_count,product_novelty,-0.21555224490292954,0.21555224490292954,False,False
new_device,repeated_historical_abuse,-0.19400415720084435,0.19400415720084435,False,False
medium_contradiction_count,channel_novelty,-0.19227346117283428,0.19227346117283428,False,False
independent_evidence_count,channel_novelty,-0.1877543113991419,0.1877543113991419,False,False
cnp_new_device,account_takeover,0.18734472156717508,0.18734472156717508,False,False
risk_score,medium_support_count,0.18503067671652257,0.18503067671652257,False,False
product_novelty,shared_device_profile,0.17665341940431137,0.17665341940431137,False,False
weak_support_count,shared_device_profile,0.1711303837026255,0.1711303837026255,False,False
cnp,account_takeover,0.16759193141838682,0.16759193141838682,False,False
risk_score,cnp_new_device,0.16472718140162793,0.16472718140162793,False,False
proxy_network,shared_device_profile,0.1638193155921209,0.1638193155921209,False,False
risk_score,medium_contradiction_count,-0.1623630024494261,0.1623630024494261,False,False
strong_support_count,medium_support_count,-0.16082715575763595,0.16082715575763595,False,False
medium_contradiction_count,new_device,-0.1606673398761632,0.1606673398761632,False,False
new_device,product_novelty,0.15067498646166314,0.15067498646166314,False,False
repeated_historical_abuse,shared_device_profile,-0.14689303176437712,0.14689303176437712,False,False
account_takeover,proxy_network,0.14648107016681944,0.14648107016681944,False,False
weak_support_count,new_device,0.1450422910142125,0.1450422910142125,False,False
medium_contradiction_count,context_evidence_count,0.1383464905566058,0.1383464905566058,False,False
risk_score,repeated_historical_abuse,-0.1360775727241048,0.1360775727241048,False,False
medium_support_count,medium_contradiction_count,-0.1350483063573096,0.1350483063573096,False,False
risk_score,shared_device_profile,0.13410483802150988,0.13410483802150988,False,False
weak_support_count,independent_evidence_count,-0.1339103319827228,0.1339103319827228,False,False
medium_support_count,out_of_region_behavior,0.13293362281413593,0.13293362281413593,False,False
medium_support_count,out_of_region,0.13293362281413593,0.13293362281413593,False,False
independent_evidence_count,product_novelty,-0.12486067794555762,0.12486067794555762,False,False
independent_evidence_count,out_of_region,0.12160202320946509,0.12160202320946509,False,False
independent_evidence_count,out_of_region_behavior,0.12160202320946509,0.12160202320946509,False,False
risk_score,independent_evidence_count,0.12111420478445697,0.12111420478445697,False,False
new_device,proxy_network,0.11861641563775792,0.11861641563775792,False,False
medium_support_count,context_evidence_count,0.1136588762743447,0.1136588762743447,False,False
cnp_new_device,repeated_historical_abuse,-0.11251562879525649,0.11251562879525649,False,False
context_evidence_count,new_device,0.1014687750736563,0.1014687750736563,False,False
medium_contradiction_count,independent_evidence_count,0.1002907141594277,0.1002907141594277,False,False
context_evidence_count,product_novelty,0.09858486734715241,0.09858486734715241,False,False
context_evidence_count,independent_evidence_count,0.09768838246308886,0.09768838246308886,False,False
weak_support_count,context_evidence_count,0.0964988557646275,0.0964988557646275,False,False
risk_score,account_takeover,0.09502470512470017,0.09502470512470017,False,False
channel_novelty,shared_device_profile,0.09111370796914232,0.09111370796914232,False,False
out_of_region,shared_device_profile,-0.08996130228379477,0.08996130228379477,False,False
out_of_region_behavior,shared_device_profile,-0.08996130228379477,0.08996130228379477,False,False
context_evidence_count,cnp_new_device,0.08958774032793454,0.08958774032793454,False,False
context_evidence_count,cnp,0.08941685184667136,0.08941685184667136,False,False
risk_score,strong_support_count,-0.08901335185542508,0.08901335185542508,False,False
cnp_new_device,proxy_network,0.08823653171169607,0.08823653171169607,False,False
account_takeover,channel_novelty,-0.08673791385208568,0.08673791385208568,False,False
medium_contradiction_count,cnp_new_device,-0.08603496884350041,0.08603496884350041,False,False
cnp,proxy_network,0.08528830435699565,0.08528830435699565,False,False
medium_contradiction_count,shared_device_profile,-0.08177707970003534,0.08177707970003534,False,False
cnp,repeated_historical_abuse,-0.07162338721252305,0.07162338721252305,False,False
proxy_network,product_novelty,0.07027067445993394,0.07027067445993394,False,False
medium_contradiction_count,cnp,-0.06967348544789437,0.06967348544789437,False,False
weak_support_count,proxy_network,0.06937356598764148,0.06937356598764148,False,False
new_device,channel_novelty,0.0689357465789273,0.0689357465789273,False,False
medium_contradiction_count,account_takeover,0.06868978653159978,0.06868978653159978,False,False
risk_score,cnp,0.06379826867941502,0.06379826867941502,False,False
out_of_region,new_device,-0.06087850184040435,0.06087850184040435,False,False
new_device,out_of_region_behavior,-0.06087850184040435,0.06087850184040435,False,False
context_evidence_count,channel_novelty,0.0603347415655369,0.0603347415655369,False,False
medium_support_count,product_novelty,0.05850331964104794,0.05850331964104794,False,False
context_evidence_count,proxy_network,0.05761140707609206,0.05761140707609206,False,False
proxy_network,repeated_historical_abuse,-0.05209781179299052,0.05209781179299052,False,False
medium_support_count,weak_support_count,0.05105999296474419,0.05105999296474419,False,False
context_evidence_count,repeated_historical_abuse,-0.04932480083406248,0.04932480083406248,False,False
proxy_network,channel_novelty,0.048622719587918,0.048622719587918,False,False
risk_score,product_novelty,0.04794191879481217,0.04794191879481217,False,False
cnp,out_of_region_behavior,-0.0468679426392852,0.0468679426392852,False,False
cnp,out_of_region,-0.0468679426392852,0.0468679426392852,False,False
risk_score,weak_support_count,0.045841058630592894,0.045841058630592894,False,False
independent_evidence_count,card_testing,0.045385597972182674,0.045385597972182674,False,False
account_takeover,out_of_region_behavior,-0.04402142608100562,0.04402142608100562,False,False
account_takeover,out_of_region,-0.04402142608100562,0.04402142608100562,False,False
cnp,product_novelty,0.04269516994708592,0.04269516994708592,False,False
cnp_new_device,channel_novelty,-0.04176631570021956,0.04176631570021956,False,False
weak_support_count,account_takeover,-0.04149693929660641,0.04149693929660641,False,False
risk_score,proxy_network,0.03835169992225814,0.03835169992225814,False,False
strong_support_count,new_device,-0.03796479879696977,0.03796479879696977,False,False
product_novelty,out_of_region_behavior,-0.036569741665255506,0.036569741665255506,False,False
out_of_region,product_novelty,-0.036569741665255506,0.036569741665255506,False,False
weak_support_count,out_of_region,-0.036495180635890294,0.036495180635890294,False,False
weak_support_count,out_of_region_behavior,-0.036495180635890294,0.036495180635890294,False,False
weak_support_count,cnp,0.03606268749182347,0.03606268749182347,False,False
account_takeover,product_novelty,-0.03541388310560147,0.03541388310560147,False,False
cnp_new_device,product_novelty,0.03297705971617614,0.03297705971617614,False,False
cnp_new_device,out_of_region_behavior,-0.031006946643985248,0.031006946643985248,False,False
cnp_new_device,out_of_region,-0.031006946643985248,0.031006946643985248,False,False
medium_contradiction_count,proxy_network,-0.03020513586579733,0.03020513586579733,False,False
strong_support_count,card_testing,0.03000461680419713,0.03000461680419713,False,False
context_evidence_count,out_of_region,0.02975031540276146,0.02975031540276146,False,False
context_evidence_count,out_of_region_behavior,0.02975031540276146,0.02975031540276146,False,False
strong_support_count,out_of_region_behavior,-0.029532916729311603,0.029532916729311603,False,False
strong_support_count,out_of_region,-0.029532916729311603,0.029532916729311603,False,False
out_of_region,channel_novelty,-0.029039764865039067,0.029039764865039067,False,False
channel_novelty,out_of_region_behavior,-0.029039764865039067,0.029039764865039067,False,False
cnp,channel_novelty,-0.028427657836346786,0.028427657836346786,False,False
medium_contradiction_count,out_of_region,0.028145234773802437,0.028145234773802437,False,False
medium_contradiction_count,out_of_region_behavior,0.028145234773802437,0.028145234773802437,False,False
strong_support_count,cnp_new_device,-0.02602411050131899,0.02602411050131899,False,False
weak_support_count,cnp_new_device,0.025774070009153965,0.025774070009153965,False,False
card_testing,repeated_historical_abuse,0.02369610735884828,0.02369610735884828,False,False
medium_support_count,channel_novelty,-0.023289189085901288,0.023289189085901288,False,False
strong_support_count,proxy_network,0.022995328729490786,0.022995328729490786,False,False
strong_support_count,cnp,-0.0227237628038732,0.0227237628038732,False,False
medium_support_count,card_testing,0.02215026743884722,0.02215026743884722,False,False
risk_score,out_of_region_behavior,-0.021271613744682154,0.021271613744682154,False,False
risk_score,out_of_region,-0.021271613744682154,0.021271613744682154,False,False
strong_support_count,shared_device_profile,-0.0212115538671725,0.0212115538671725,False,False
card_testing,cnp,-0.01961391634877729,0.01961391634877729,False,False
risk_score,channel_novelty,0.0189948605499574,0.0189948605499574,False,False
out_of_region,proxy_network,-0.01871269423544115,0.01871269423544115,False,False
proxy_network,out_of_region_behavior,-0.01871269423544115,0.01871269423544115,False,False
card_testing,account_takeover,-0.018422668461298936,0.018422668461298936,False,False
out_of_region,repeated_historical_abuse,-0.017590088073776843,0.017590088073776843,False,False
out_of_region_behavior,repeated_historical_abuse,-0.017590088073776843,0.017590088073776843,False,False
card_testing,product_novelty,-0.015304189036825544,0.015304189036825544,False,False
weak_support_count,card_testing,-0.015272985751370845,0.015272985751370845,False,False
card_testing,cnp_new_device,-0.012976197022063327,0.012976197022063327,False,False
risk_score,context_evidence_count,0.012524666782201231,0.012524666782201231,False,False
strong_support_count,context_evidence_count,-0.012416341618867125,0.012416341618867125,False,False
card_testing,channel_novelty,-0.012152944780076759,0.012152944780076759,False,False
context_evidence_count,card_testing,-0.011978920188448648,0.011978920188448648,False,False
card_testing,proxy_network,-0.007831135712932747,0.007831135712932747,False,False
card_testing,shared_device_profile,0.007171084818350266,0.007171084818350266,False,False
card_testing,new_device,0.004208865722385465,0.004208865722385465,False,False
card_testing,out_of_region,-0.0038707207742780395,0.0038707207742780395,False,False
card_testing,out_of_region_behavior,-0.0038707207742780395,0.0038707207742780395,False,False
account_takeover,repeated_historical_abuse,0.00365827404849375,0.00365827404849375,False,False
medium_contradiction_count,card_testing,0.0031479672909180685,0.0031479672909180685,False,False
risk_score,card_testing,0.001607719684823136,0.001607719684823136,False,False
