bucket,score_range,n,fraud,cleared,fraud_rate,mean_risk_score,median_risk_score,min_risk_score,max_risk_score
1,"(0.009000000000000001, 0.14]",560,560,0,1.0,0.0875,0.09,0.01,0.14
2,"(0.14, 0.23]",578,578,0,1.0,0.19079584775086506,0.19,0.15,0.23
3,"(0.23, 0.34]",586,586,0,1.0,0.2876621160409556,0.29,0.24,0.34
4,"(0.34, 0.45]",546,546,0,1.0,0.3972161172161172,0.39,0.35,0.45
5,"(0.45, 0.57]",557,557,0,1.0,0.5168043087971275,0.52,0.46,0.57
6,"(0.57, 0.68]",560,560,0,1.0,0.6313214285714286,0.63,0.58,0.68
7,"(0.68, 0.78]",547,547,0,1.0,0.7344606946983546,0.74,0.69,0.78
8,"(0.78, 0.84]",553,319,234,0.5768535262206148,0.8203978300180832,0.82,0.79,0.84
9,"(0.84, 0.89]",545,224,321,0.41100917431192663,0.868091743119266,0.87,0.85,0.89
10,"(0.89, 0.99]",533,188,345,0.3527204502814259,0.9286116322701689,0.93,0.9,0.99
