split,feature,n,mean,median,std,nonzero_rate,missing_rate,q10,q25,q50,q75,q90
train,risk_score,3339,0.5581431566337226,0.59,0.28522647883069036,1.0,0.0,0.15,0.3,0.59,0.83,0.9
train,strong_support_count,3339,0.889487870619946,0.0,1.0191665793184883,0.46990116801437554,0.0,0.0,0.0,0.0,2.0,2.0
train,medium_support_count,3339,0.9526804432464809,1.0,1.0788782553731557,0.5747229709493861,0.0,0.0,0.0,1.0,1.0,3.0
train,weak_support_count,3339,0.2620545073375262,0.0,0.637197345448739,0.1557352500748727,0.0,0.0,0.0,0.0,0.0,2.0
train,strong_contradiction_count,3339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,medium_contradiction_count,3339,0.20814615154237795,0.0,0.4059819345001393,0.20814615154237795,0.0,0.0,0.0,0.0,0.0,1.0
train,weak_contradiction_count,3339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,context_evidence_count,3339,1.6654687032045523,2.0,0.7490292292742142,0.9389038634321654,0.0,1.0,1.0,2.0,2.0,3.0
train,independent_evidence_count,3339,1.3617849655585506,1.0,1.0393520572421369,0.8047319556753519,0.0,0.0,1.0,1.0,2.0,3.0
train,card_testing,3339,0.0008984725965858042,0.0,0.02996106379251225,0.0008984725965858042,0.0,0.0,0.0,0.0,0.0,0.0
train,cnp,3339,0.20515124288709194,0.0,0.4038120979229985,0.20515124288709194,0.0,0.0,0.0,0.0,0.0,1.0
train,cnp_new_device,3339,0.11530398322851153,0.0,0.319388438551164,0.11530398322851153,0.0,0.0,0.0,0.0,0.0,1.0
train,account_takeover,3339,0.2000598981731057,0.0,0.4000449166232115,0.2000598981731057,0.0,0.0,0.0,0.0,0.0,1.0
train,out_of_region,3339,0.010482180293501049,0.0,0.10184450986575364,0.010482180293501049,0.0,0.0,0.0,0.0,0.0,0.0
train,new_device,3339,0.33782569631626236,0.0,0.4729688099914146,0.33782569631626236,0.0,0.0,0.0,0.0,1.0,1.0
train,proxy_network,3339,0.03803533992213237,0.0,0.19128160611815295,0.03803533992213237,0.0,0.0,0.0,0.0,0.0,0.0
train,channel_novelty,3339,0.10631925726265348,0.0,0.3082457993189383,0.10631925726265348,0.0,0.0,0.0,0.0,0.0,1.0
train,product_novelty,3339,0.1557352500748727,0.0,0.3626041670458154,0.1557352500748727,0.0,0.0,0.0,0.0,0.0,1.0
train,out_of_region_behavior,3339,0.010482180293501049,0.0,0.10184450986575364,0.010482180293501049,0.0,0.0,0.0,0.0,0.0,0.0
train,repeated_historical_abuse,3339,0.36507936507936506,0.0,0.48145240914613013,0.36507936507936506,0.0,0.0,0.0,0.0,1.0,1.0
train,shared_device_profile,3339,0.5052410901467506,1.0,0.49997253021948485,0.5052410901467506,0.0,0.0,0.0,1.0,1.0,1.0
train,__LABEL__,3339,0.7972446840371369,1.0,0.40205173524269566,0.7972446840371369,0.0,0.0,1.0,1.0,1.0,1.0
validation,risk_score,1113,0.5137825696316263,0.53,0.2809356965075692,1.0,0.0,0.14,0.25,0.53,0.77,0.88
validation,strong_support_count,1113,1.389937106918239,2.0,1.0185905804236748,0.6783468104222821,0.0,0.0,0.0,2.0,2.0,2.0
validation,medium_support_count,1113,0.7035040431266847,0.0,0.9013099851531398,0.48247978436657685,0.0,0.0,0.0,0.0,1.0,2.0
validation,weak_support_count,1113,0.14106019766397124,0.0,0.48039137698593287,0.0862533692722372,0.0,0.0,0.0,0.0,0.0,0.0
