case_id,customer_id,flagged_txn_id,current_region,prior_region_seen,prior_in_person_regions,modal_home_region_proxy,is_new_region,home_activity_continues,out_of_region_candidate
HHG-001,C12382,3514030,444.0,True,"['204.0', '512.0', '264.0', '272.0', '123.0', '433.0', '143.0', '485.0', '315.0', '122.0', '337.0', '299.0', '444.0', '191.0', '330.0', '325.0', '428.0', '225.0', '110.0', '387.0', '205.0', '177.0', '498.0', '181.0', '203.0', '184.0', '226.0', '472.0', '441.0', '476.0', '310.0', '436.0', '469.0', '220.0', '308.0', '420.0', '126.0', '327.0', '324.0', '231.0']",204.0,False,False,False
HHG-002,C11891,3478782,,False,[],,False,False,False
HHG-003,C08623,3530164,330.0,True,"['299.0', '204.0', '315.0', '264.0', '325.0', '441.0', '272.0', '251.0', '126.0', '330.0', '181.0', '191.0', '123.0', '143.0', '337.0', '184.0', '220.0', '472.0', '310.0', '433.0', '177.0', '269.0', '231.0', '476.0', '485.0', '205.0', '327.0', '194.0', '512.0', '122.0', '387.0', '225.0', '502.0', '444.0', '308.0', '158.0', '384.0', '498.0', '448.0', '420.0', '110.0', '226.0', '203.0', '436.0', '469.0', '428.0', '324.0', '253.0', '106.0', '494.0', '410.0', '202.0']",299.0,False,False,False
HHG-004,C08106,3583227,,False,[],,False,False,False
HHG-005,C02923,3523199,330.0,False,[],,False,False,False
HHG-006,C07297,3476682,264.0,False,[],,False,False,False
HHG-007,C09933,3514948,264.0,True,"['264.0', '204.0', '325.0', '299.0', '387.0', '315.0', '205.0', '310.0', '441.0', '225.0', '251.0', '444.0', '272.0', '498.0', '191.0', '123.0', '184.0', '428.0', '337.0', '327.0', '512.0', '110.0', '177.0', '181.0', '220.0', '433.0', '203.0']",264.0,False,True,False
HHG-008,C13171,3558054,,False,[],,False,False,False
HHG-009,C08299,3581141,203.0,False,[],,False,False,False
HHG-010,C10434,3506725,469.0,False,[],,False,False,False
HHG-011,C11923,3583368,,False,[],,False,False,False
HHG-012,C05876,3553342,494.0,True,"['325.0', '272.0', '264.0', '204.0', '330.0', '441.0', '184.0', '123.0', '181.0', '472.0', '299.0', '476.0', '494.0', '315.0', '191.0', '436.0', '226.0', '122.0', '337.0', '143.0', '126.0', '327.0', '251.0', '433.0', '225.0', '310.0', '512.0', '231.0', '485.0', '205.0', '324.0', '308.0', '269.0', '498.0', '110.0', '194.0', '220.0', '177.0', '429.0', '444.0']",325.0,False,False,False
HHG-013,C07671,3526826,,False,[],,False,False,False
HHG-014,C13487,3478561,191.0,False,[],,False,False,False
HHG-015,C03042,3464869,327.0,False,[],,False,False,False
HHG-016,C09988,3534820,,False,[],,False,False,False
HHG-017,C04570,3450629,204.0,False,[],,False,False,False
HHG-018,C02354,3491361,126.0,True,"['325.0', '126.0', '204.0', '231.0', '272.0', '330.0', '308.0', '299.0', '337.0', '310.0', '476.0', '264.0', '315.0', '348.0', '441.0', '184.0', '220.0', '502.0', '123.0', '205.0', '387.0', '226.0', '294.0', '499.0', '225.0', '143.0', '472.0', '269.0', '324.0', '444.0', '327.0', '494.0', '170.0', '512.0', '469.0', '191.0']",325.0,False,True,False
HHG-019,C07987,3503878,264.0,False,[],,False,False,False
HHG-020,C12265,3509359,264.0,False,[],,False,False,False
