case_id,benchmark_customer_id,device_profile,device_profile_specificity,customer_count,transaction_count,other_customer_count,other_customers,first_use,last_use
HHG-004,C08106, |  | firefox 47.0 | ,1,6,8,5,"[""C02222"", ""C05031"", ""C03095"", ""C04248"", ""C07518""]",2016-07-11 20:10:06,2016-12-29 01:53:54
HHG-005,C02923,iOS Device | iOS 9.3.5 | mobile safari 9.0 | 1024x768,4,110,164,109,"[""C07212"", ""C06224"", ""C02716"", ""C08299"", ""C12961"", ""C09363"", ""C01155"", ""C02342"", ""C00854"", ""C04108"", ""C07518"", ""C03218"", ""C03278"", ""C07847"", ""C06296"", ""C05704"", ""C05385"", ""C04513"", ""C11000"", ""C00329"", ""C01982"", ""C02250"", ""C12166"", ""C01599"", ""C13058"", ""C12942"", ""C12748"", ""C08780"", ""C12598"", ""C08542"", ""C08489"", ""C08410"", ""C08348"", ""C11929"", ""C07987"", ""C08925"", ""C13067"", ""C07615"", ""C07612"", ""C07552"", ""C13316"", ""C08918"", ""C08999"", ""C08989"", ""C10948"", ""C11539"", ""C11522"", ""C11257"", ""C11164"", ""C10964"", ""C12230"", ""C10955"", ""C10542"", ""C11898"", ""C09872"", ""C09800"", ""C12450"", ""C09468"", ""C12484"", ""C09149"", ""C12585"", ""C07355"", ""C06279"", ""C06962"", ""C02024"", ""C03096"", ""C03066"", ""C03047"", ""C03040"", ""C02780"", ""C02393"", ""C02354"", ""C02231"", ""C01953"", ""C03412"", ""C01909"", ""C01782"", ""C01619"", ""C01154"", ""C01138"", ""C01128"", ""C01104"", ""C00913"", ""C00750"", ""C03273"", ""C03575"", ""C06947"", ""C05690"", ""C06835"", ""C06708"", ""C06568"", ""C06481"", ""C00450"", ""C06220"", ""C06208"", ""C06005"", ""C05958"", ""C05551"", ""C03623"", ""C05345"", ""C05063"", ""C04942"", ""C04803"", ""C04547"", ""C04194"", ""C04173"", ""C04117"", ""C03787"", ""C13440""]",2016-07-02 21:27:16,2016-12-07 21:38:37
HHG-006,C07297,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1920x1080,4,494,1063,493,"[""C06224"", ""C05704"", ""C02716"", ""C12897"", ""C01155"", ""C04108"", ""C11000"", ""C03040"", ""C05560"", ""C07212"", ""C03218"", ""C00750"", ""C09241"", ""C03066"", ""C12942"", ""C12961"", ""C03019"", ""C00854"", ""C04125"", ""C02231"", ""C02250"", ""C02279"", ""C08918"", ""C10349"", ""C13525"", ""C02354"", ""C06565"", ""C09301"", ""C06208"", ""C08789"", ""C02285"", ""C12150"", ""C12983"", ""C05509"", ""C09363"", ""C08945"", ""C01744"", ""C08989"", ""C02400"", ""C09274"", ""C09149"", ""C12658"", ""C04865"", ""C04046"", ""C08746"", ""C08489"", ""C05245"", ""C09800"", ""C05868"", ""C07925"", ""C07356"", ""C09586"", ""C09165"", ""C09680"", ""C11684"", ""C10293"", ""C03549"", ""C06025"", ""C09981"", ""C06220"", ""C03341"", ""C10771"", ""C11413"", ""C06670"", ""C10955"", ""C08256"", ""C01982"", ""C12622"", ""C12992"", ""C07648"", ""C00867"", ""C12166"", ""C00889"", ""C07612"", ""C00942"", ""C07867"", ""C07518"", ""C01104"", ""C08466"", ""C12682"", ""C08482"", ""C08450"", ""C07957"", ""C07119"", ""C07102"", ""C07944"", ""C07180"", ""C10601"", ""C09933"", ""C08072"", ""C04077"", ""C04968"", ""C07858"", ""C08374"", ""C08375"", ""C09956"", ""C04965"", ""C04903"", ""C07871"", ""C10158"", ""C08283"", ""C04759"", ""C09873"", ""C04258"", ""C04660"", ""C04307"", ""C07901"", ""C07614"", ""C08557"", ""C07698"", ""C06835"", ""C09249"", ""C09251"", ""C06958"", ""C06302"", ""C08943"", ""C08926"", ""C07130"", ""C00118"", ""C08842"", ""C08807"", ""C09420"", ""C06092"", ""C06026"", ""C07311"", ""C06001"", ""C09471"", ""C08742"", ""C09602"", ""C07606"", ""C05690"", ""C05551"", ""C05530"", ""C10755"", ""C10553"", ""C03278"", ""C11522"", ""C00768"", ""C03327"", ""C03317"", ""C11965"", ""C12690"", ""C01255"", ""C01330"", ""C01333"", ""C11513"", ""C01494"", ""C03474"", ""C02902"", ""C02728"", ""C01966"", ""C12124"", ""C12094"", ""C11806"", ""C12061"", ""C12001"", ""C02128"", ""C13028"", ""C11929"", ""C00197"", ""C03708"", ""C10842"", ""C13328"", ""C11143"", ""C00450"", ""C10998"", ""C03648"", ""C12386"", ""C12249"", ""C12267"", ""C12286"", ""C13245"", ""C12419"", ""C08994"", ""C08856"", ""C12434"", ""C13448"", ""C09007"", ""C12216"", ""C08999"", ""C12489"", ""C12211"", ""C09026"", ""C13518"", ""C08339"", ""C09206"", ""C09212"", ""C08334"", ""C09227"", ""C08286"", ""C08285"", ""C12454"", ""C12620"", ""C13429"", ""C12825"", ""C13067"", ""C13266"", ""C13287"", ""C08598"", ""C13005"", ""C08616"", ""C12920"", ""C12901"", ""C12840"", ""C08634"", ""C08637"", ""C08475"", ""C12774"", ""C08382"", ""C12768"", ""C13351"", ""C08748"", ""C08761"", ""C12755"", ""C08780"", ""C12730"", ""C12710"", ""C13410"", ""C13427"", ""C08833"", ""C13177"", ""C10827"", ""C11772"", ""C11889"", ""C10016"", ""C10170"", ""C11237"", ""C10127"", ""C10099"", ""C10068"", ""C10023"", ""C11269"", ""C10187"", ""C11287"", ""C11294"", ""C11298"", ""C11309"", ""C09926"", ""C09918"", ""C11227"", ""C10194"", ""C09281"", ""C10578"", ""C10713"", ""C10889"", ""C10692"", ""C11003"", ""C10614"", ""C11097"", ""C10527"", ""C10223"", ""C11133"", ""C10520"", ""C10448"", ""C11178"", ""C10292"", ""C10245"", ""C09899"", ""C09868"", ""C11450"", ""C11700"", ""C09511"", ""C11609"", ""C09460"", ""C11633"", ""C11662"", ""C09443"", ""C09442"", ""C09863"", ""C09430"", ""C11704"", ""C11709"", ""C10736"", ""C11792"", ""C11865"", ""C11575"", ""C11548"", ""C11544"", ""C11543"", ""C09606"", ""C09612"", ""C09654"", ""C11539"", ""C11496"", ""C11489"", ""C09691"", ""C09711"", ""C09718"", ""C11486"", ""C09803"", ""C09826"", ""C09861"", ""C00094"", ""C07164"", ""C08269"", ""C03158"", ""C03067"", ""C03047"", ""C03018"", ""C02904"", ""C02883"", ""C02859"", ""C02831"", ""C02810"", ""C02695"", ""C02646"", ""C02609"", ""C02542"", ""C02502"", ""C02458"", ""C02418"", ""C02410"", ""C02342"", ""C02334"", ""C02138"", ""C02121"", ""C02106"", ""C03093"", ""C03184"", ""C02055"", ""C03242"", ""C03957"", ""C03933"", ""C03906"", ""C03902"", ""C03872"", ""C03856"", ""C03843"", ""C03838"", ""C03778"", ""C03738"", ""C03684"", ""C03657"", ""C03598"", ""C03595"", ""C03494"", ""C03448"", ""C03412"", ""C03405"", ""C03394"", ""C03374"", ""C03306"", ""C02094"", ""C02036"", ""C03999"", ""C00990"", ""C00908"", ""C00877"", ""C00853"", ""C00844"", ""C00782"", ""C00704"", ""C00667"", ""C00560"", ""C00542"", ""C00537"", ""C00536"", ""C00465"", ""C00452"", ""C00436"", ""C00386"", ""C00329"", ""C00288"", ""C00230"", ""C00180"", ""C00149"", ""C00134"", ""C00967"", ""C01014"", ""C02033"", ""C01017"", ""C02000"", ""C01936"", ""C01909"", ""C01843"", ""C01755"", ""C01743"", ""C01738"", ""C01688"", ""C01672"", ""C01620"", ""C01493"", ""C01492"", ""C01374"", ""C01285"", ""C01205"", ""C01204"", ""C01182"", ""C01165"", ""C01154"", ""C01137"", ""C01109"", ""C03983"", ""C04106"", ""C08251"", ""C07171"", ""C07091"", ""C07089"", ""C07071"", ""C07011"", ""C07004"", ""C06976"", ""C06962"", ""C06947"", ""C06944"", ""C06800"", ""C06775"", ""C06770"", ""C06708"", ""C06677"", ""C06599"", ""C06590"", ""C06515"", ""C06511"", ""C06482"", ""C06244"", ""C06221"", ""C07169"", ""C07185"", ""C06190"", ""C07196"", ""C08179"", ""C08141"", ""C08080"", ""C08011"", ""C07987"", ""C07948"", ""C07936"", ""C07924"", ""C07909"", ""C07815"", ""C07782"", ""C07760"", ""C07755"", ""C07641"", ""C07585"", ""C07558"", ""C07531"", ""C07492"", ""C07473"", ""C07462"", ""C07340"", ""C06201"", ""C06130"", ""C04134"", ""C04970"", ""C04860"", ""C04834"", ""C04832"", ""C04831"", ""C04798"", ""C04795"", ""C04776"", ""C04697"", ""C04571"", ""C04537"", ""C04533"", ""C04525"", ""C04500"", ""C04352"", ""C04346"", ""C04313"", ""C04294"", ""C04244"", ""C04220"", ""C04182"", ""C04157"", ""C04928"", ""C04984"", ""C06117"", ""C05083"", ""C06075"", ""C06024"", ""C05970"", ""C05930"", ""C05856"", ""C05772"", ""C05641"", ""C05630"", ""C05585"", ""C05584"", ""C05480"", ""C05468"", ""C05419"", ""C05368"", ""C05347"", ""C05304"", ""C05290"", ""C05266"", ""C05244"", ""C05146"", ""C05141"", ""C13537""]",2016-07-02 02:06:29,2016-11-21 20:30:00
HHG-008,C13171, |  | chrome 66.0 | ,1,125,419,124,"[""C11923"", ""C11509"", ""C04597"", ""C08962"", ""C07562"", ""C05381"", ""C05031"", ""C06744"", ""C09657"", ""C11919"", ""C06663"", ""C02147"", ""C03218"", ""C00294"", ""C02897"", ""C05307"", ""C08391"", ""C06630"", ""C02782"", ""C10957"", ""C09835"", ""C04154"", ""C13147"", ""C05423"", ""C10770"", ""C11352"", ""C07134"", ""C10245"", ""C04536"", ""C08106"", ""C02689"", ""C12987"", ""C06740"", ""C13407"", ""C10837"", ""C06224"", ""C06464"", ""C06598"", ""C10760"", ""C06855"", ""C02456"", ""C11807"", ""C04034"", ""C00259"", ""C08682"", ""C03345"", ""C12028"", ""C01109"", ""C02702"", ""C11787"", ""C12657"", ""C02181"", ""C12680"", ""C01525"", ""C01521"", ""C09588"", ""C10680"", ""C09742"", ""C11146"", ""C10630"", ""C00027"", ""C11627"", ""C11183"", ""C12092"", ""C13364"", ""C13349"", ""C12966"", ""C12392"", ""C12098"", ""C12096"", ""C11891"", ""C11333"", ""C11873"", ""C11847"", ""C11642"", ""C11597"", ""C11595"", ""C11444"", ""C09514"", ""C06872"", ""C08943"", ""C08537"", ""C04033"", ""C03841"", ""C03729"", ""C03573"", ""C03526"", ""C03180"", ""C03075"", ""C02898"", ""C02545"", ""C02416"", ""C02247"", ""C02180"", ""C02095"", ""C01983"", ""C01890"", ""C01740"", ""C01155"", ""C00952"", ""C00426"", ""C04083"", ""C04125"", ""C04179"", ""C07214"", ""C08190"", ""C07981"", ""C07686"", ""C07576"", ""C07508"", ""C07468"", ""C07347"", ""C07220"", ""C06977"", ""C04248"", ""C00036"", ""C06181"", ""C05704"", ""C05485"", ""C05316"", ""C04984"", ""C04740"", ""C04386"", ""C13447""]",2016-12-05 04:51:13,2016-12-19 23:13:34
HHG-010,C10434,Windows | Windows 10 | edge 16.0 | 1366x768,4,185,337,184,"[""C06224"", ""C10308"", ""C07185"", ""C01155"", ""C03738"", ""C10149"", ""C05704"", ""C11000"", ""C04108"", ""C04125"", ""C05560"", ""C12897"", ""C11709"", ""C02716"", ""C03040"", ""C02231"", ""C07212"", ""C03066"", ""C03019"", ""C11309"", ""C09249"", ""C03856"", ""C11381"", ""C09241"", ""C05245"", ""C00854"", ""C12961"", ""C01982"", ""C06630"", ""C07227"", ""C05625"", ""C00750"", ""C00787"", ""C09165"", ""C07685"", ""C12975"", ""C12942"", ""C01377"", ""C08522"", ""C10553"", ""C03047"", ""C07812"", ""C01755"", ""C06130"", ""C04865"", ""C06914"", ""C02319"", ""C02309"", ""C09274"", ""C09265"", ""C09301"", ""C09280"", ""C09283"", ""C09471"", ""C08489"", ""C09174"", ""C09141"", ""C09065"", ""C08918"", ""C08483"", ""C08331"", ""C08269"", ""C08064"", ""C07987"", ""C07871"", ""C07858"", ""C07780"", ""C09507"", ""C00307"", ""C09683"", ""C12626"", ""C11700"", ""C11730"", ""C12166"", ""C12194"", ""C12420"", ""C12439"", ""C12514"", ""C12682"", ""C11496"", ""C12690"", ""C12887"", ""C12900"", ""C12983"", ""C13015"", ""C13058"", ""C13067"", ""C11543"", ""C11485"", ""C09708"", ""C09807"", ""C09873"", ""C10045"", ""C10127"", ""C10324"", ""C10365"", ""C10390"", ""C07612"", ""C11196"", ""C10559"", ""C10766"", ""C10867"", ""C10955"", ""C10986"", ""C10996"", ""C11194"", ""C07648"", ""C06223"", ""C07416"", ""C03302"", ""C02608"", ""C02883"", ""C02902"", ""C02999"", ""C03146"", ""C03169"", ""C03278"", ""C03343"", ""C07105"", ""C03528"", ""C03533"", ""C03714"", ""C03778"", ""C03817"", ""C03851"", ""C03878"", ""C02354"", ""C02280"", ""C02250"", ""C01999"", ""C00450"", ""C00659"", ""C00942"", ""C01104"", ""C01138"", ""C01152"", ""C01186"", ""C01563"", ""C01721"", ""C01730"", ""C01814"", ""C01828"", ""C01909"", ""C01966"", ""C01977"", ""C04024"", ""C04046"", ""C04077"", ""C05611"", ""C05772"", ""C05868"", ""C06005"", ""C06024"", ""C06026"", ""C06190"", ""C06208"", ""C00416"", ""C06228"", ""C06308"", ""C06699"", ""C06798"", ""C06818"", ""C06947"", ""C06958"", ""C05654"", ""C05585"", ""C04134"", ""C05508"", ""C04269"", ""C04277"", ""C04294"", ""C04346"", ""C04361"", ""C04566"", ""C04683"", ""C04776"", ""C04840"", ""C05125"", ""C05128"", ""C05175"", ""C05244"", ""C05351"", ""C05362"", ""C13145""]",2016-07-02 18:25:44,2016-12-02 18:01:49
HHG-011,C11923,SM-G610F Build/NRD90M |  | chrome 66.0 for android | ,2,3,3,2,"[""C03938"", ""C05595""]",2016-12-28 22:43:11,2016-12-29 03:27:44
HHG-013,C07671,Windows |  | chrome 66.0 | ,2,59,166,58,"[""C11923"", ""C08391"", ""C02782"", ""C13171"", ""C09657"", ""C04597"", ""C11509"", ""C11919"", ""C01109"", ""C09354"", ""C06940"", ""C05423"", ""C05031"", ""C00140"", ""C04248"", ""C06339"", ""C11965"", ""C06224"", ""C04034"", ""C03488"", ""C02315"", ""C04108"", ""C00978"", ""C10031"", ""C10760"", ""C11230"", ""C11444"", ""C01433"", ""C11844"", ""C11859"", ""C00927"", ""C09975"", ""C00788"", ""C12136"", ""C12961"", ""C12966"", ""C12987"", ""C13147"", ""C00523"", ""C10026"", ""C01525"", ""C01521"", ""C04177"", ""C05027"", ""C03157"", ""C05381"", ""C02851"", ""C05704"", ""C05996"", ""C06049"", ""C00426"", ""C02456"", ""C06630"", ""C06636"", ""C07220"", ""C02228"", ""C08832"", ""C13407""]",2016-12-04 06:30:20,2016-12-09 05:26:17
HHG-014,C13487,SM-G935F Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080,4,44,80,43,"[""C09174"", ""C03551"", ""C07762"", ""C06617"", ""C06197"", ""C04311"", ""C11687"", ""C11468"", ""C03528"", ""C01935"", ""C11670"", ""C09049"", ""C10955"", ""C12033"", ""C10350"", ""C12132"", ""C12900"", ""C10326"", ""C09998"", ""C09906"", ""C09733"", ""C00255"", ""C08112"", ""C07485"", ""C04274"", ""C03676"", ""C13291"", ""C01996"", ""C12796"", ""C12574"", ""C12395"", ""C02910"", ""C02975"", ""C01289"", ""C03744"", ""C09354"", ""C11082"", ""C05448"", ""C06710"", ""C10193"", ""C09975"", ""C08168"", ""C04108""]",2016-08-15 14:41:00,2016-11-22 17:00:00
HHG-015,C03042,Trident/7.0 | Windows 8.1 | ie 11.0 for desktop | 1680x1050,4,6,7,5,"[""C01155"", ""C00681"", ""C02881"", ""C11227"", ""C11413""]",2016-07-14 01:47:25,2016-11-17 14:03:36
HHG-016,C09988,Windows |  | edge 16.0 | ,2,143,534,142,"[""C11923"", ""C08962"", ""C05381"", ""C07562"", ""C09657"", ""C04597"", ""C05031"", ""C12987"", ""C11597"", ""C00294"", ""C11919"", ""C06630"", ""C06744"", ""C05307"", ""C05704"", ""C08391"", ""C04015"", ""C04058"", ""C11847"", ""C01525"", ""C03026"", ""C10760"", ""C04034"", ""C06464"", ""C08918"", ""C12028"", ""C02181"", ""C02147"", ""C07508"", ""C01109"", ""C01002"", ""C13171"", ""C10837"", ""C10757"", ""C00854"", ""C00426"", ""C06663"", ""C05996"", ""C08106"", ""C08374"", ""C13364"", ""C12966"", ""C12645"", ""C11808"", ""C11509"", ""C11642"", ""C03488"", ""C01521"", ""C12098"", ""C06899"", ""C06906"", ""C07167"", ""C11799"", ""C02585"", ""C09791"", ""C06224"", ""C09939"", ""C04108"", ""C07204"", ""C07391"", ""C08168"", ""C11595"", ""C09241"", ""C01377"", ""C08601"", ""C08610"", ""C11413"", ""C04536"", ""C08944"", ""C09487"", ""C09246"", ""C12897"", ""C12340"", ""C09533"", ""C09251"", ""C09722"", ""C09616"", ""C10019"", ""C11137"", ""C08924"", ""C10553"", ""C11444"", ""C10131"", ""C10114"", ""C10010"", ""C09663"", ""C09975"", ""C09940"", ""C09873"", ""C11101"", ""C11952"", ""C10631"", ""C00005"", ""C08832"", ""C04046"", ""C03841"", ""C03694"", ""C03095"", ""C03047"", ""C03040"", ""C02881"", ""C02702"", ""C02545"", ""C02456"", ""C02358"", ""C02277"", ""C02266"", ""C02250"", ""C02222"", ""C01836"", ""C01810"", ""C01659"", ""C01439"", ""C01154"", ""C00573"", ""C00466"", ""C04033"", ""C04248"", ""C08491"", ""C04341"", ""C08281"", ""C08217"", ""C07990"", ""C07981"", ""C07438"", ""C07371"", ""C07196"", ""C00045"", ""C06731"", ""C06351"", ""C06298"", ""C05998"", ""C05944"", ""C05793"", ""C05791"", ""C05690"", ""C05630"", ""C05426"", ""C05423"", ""C04965"", ""C04743"", ""C06940""]",2016-07-04 01:16:56,2016-12-12 01:33:23
