case_id,customer_id,flagged_txn_id,window,window_start,window_end,transaction_count,online_count,in_person_count,amount_sum,median_amount
HHG-001,C12382,3514030,24h,2016-12-03 19:55:28,2016-12-05 01:55:28,5,0,5,452.02,77.07
HHG-001,C12382,3514030,48h,2016-12-02 19:55:28,2016-12-05 01:55:28,9,0,9,654.41,59.06
HHG-001,C12382,3514030,7d,2016-11-27 19:55:28,2016-12-05 01:55:28,19,0,19,2381.2799999999997,77.07
HHG-001,C12382,3514030,30d,2016-11-04 19:55:28,2016-12-05 01:55:28,59,0,59,6136.240000000001,76.97
HHG-002,C11891,3478782,24h,2016-11-21 17:27:07,2016-11-22 23:27:07,1,1,0,292.36,292.36
HHG-002,C11891,3478782,48h,2016-11-20 17:27:07,2016-11-22 23:27:07,1,1,0,292.36,292.36
HHG-002,C11891,3478782,7d,2016-11-15 17:27:07,2016-11-22 23:27:07,1,1,0,292.36,292.36
HHG-002,C11891,3478782,30d,2016-10-23 17:27:07,2016-11-22 23:27:07,10,10,0,709.56,52.45
HHG-003,C08623,3530164,24h,2016-12-09 13:01:21,2016-12-10 15:01:21,8,0,8,818.52,112.68
HHG-003,C08623,3530164,48h,2016-12-08 13:01:21,2016-12-10 15:01:21,13,0,13,3028.58,116.93
HHG-003,C08623,3530164,7d,2016-12-03 13:01:21,2016-12-10 15:01:21,54,0,54,11568.43,103.21000000000001
HHG-003,C08623,3530164,30d,2016-11-10 13:01:21,2016-12-10 15:01:21,172,2,170,24824.35,59.085
HHG-004,C08106,3583227,24h,2016-12-28 01:53:54,2016-12-29 07:53:54,2,2,0,221.19,110.595
HHG-004,C08106,3583227,48h,2016-12-27 01:53:54,2016-12-29 07:53:54,2,2,0,221.19,110.595
HHG-004,C08106,3583227,7d,2016-12-22 01:53:54,2016-12-29 07:53:54,5,5,0,384.14,79.88
HHG-004,C08106,3583227,30d,2016-11-29 01:53:54,2016-12-29 07:53:54,42,42,0,1441.3899999999996,26.695
HHG-005,C02923,3523199,24h,2016-12-06 21:38:37,2016-12-08 03:38:37,1,1,0,100.07,100.07
HHG-005,C02923,3523199,48h,2016-12-05 21:38:37,2016-12-08 03:38:37,1,1,0,100.07,100.07
HHG-005,C02923,3523199,7d,2016-11-30 21:38:37,2016-12-08 03:38:37,5,1,4,568.0699999999999,116.96
HHG-005,C02923,3523199,30d,2016-11-07 21:38:37,2016-12-08 03:38:37,17,2,15,2080.11,117.01
HHG-006,C07297,3476682,24h,2016-11-20 20:30:00,2016-11-22 02:30:00,5,4,1,1989.0400000000002,478.95
HHG-006,C07297,3476682,48h,2016-11-19 20:30:00,2016-11-22 02:30:00,7,4,3,2477.1,456.96
HHG-006,C07297,3476682,7d,2016-11-14 20:30:00,2016-11-22 02:30:00,16,4,12,3407.79,163.94
HHG-006,C07297,3476682,30d,2016-10-22 20:30:00,2016-11-22 02:30:00,52,4,48,6536.9,82.975
HHG-007,C09933,3514948,24h,2016-12-04 00:46:14,2016-12-05 03:46:14,20,0,20,8801.840000000002,106.97
HHG-007,C09933,3514948,48h,2016-12-03 00:46:14,2016-12-05 03:46:14,27,0,27,11577.560000000001,106.0
HHG-007,C09933,3514948,7d,2016-11-28 00:46:14,2016-12-05 03:46:14,106,5,101,18997.45,81.015
HHG-007,C09933,3514948,30d,2016-11-05 00:46:14,2016-12-05 03:46:14,425,17,408,57681.15,87.99
HHG-008,C13171,3558054,24h,2016-12-18 22:08:56,2016-12-20 03:08:56,7,7,0,273.0,55.6
HHG-008,C13171,3558054,48h,2016-12-17 22:08:56,2016-12-20 03:08:56,14,14,0,595.7399999999999,45.75
HHG-008,C13171,3558054,7d,2016-12-12 22:08:56,2016-12-20 03:08:56,48,48,0,2180.64,32.04
HHG-008,C13171,3558054,30d,2016-11-19 22:08:56,2016-12-20 03:08:56,140,140,0,6714.379999999999,35.68
HHG-009,C08299,3581141,24h,2016-12-27 12:10:53,2016-12-28 17:10:53,1,1,0,30.02,30.02
HHG-009,C08299,3581141,48h,2016-12-26 12:10:53,2016-12-28 17:10:53,1,1,0,30.02,30.02
HHG-009,C08299,3581141,7d,2016-12-21 12:10:53,2016-12-28 17:10:53,2,2,0,110.03999999999999,55.019999999999996
HHG-009,C08299,3581141,30d,2016-11-28 12:10:53,2016-12-28 17:10:53,8,8,0,429.81999999999994,49.925
HHG-010,C10434,3506725,24h,2016-12-01 15:18:27,2016-12-02 18:18:27,1,1,0,1000.03,1000.03
HHG-010,C10434,3506725,48h,2016-11-30 15:18:27,2016-12-02 18:18:27,1,1,0,1000.03,1000.03
HHG-010,C10434,3506725,7d,2016-11-25 15:18:27,2016-12-02 18:18:27,2,2,0,1100.07,550.035
HHG-010,C10434,3506725,30d,2016-11-02 15:18:27,2016-12-02 18:18:27,3,2,1,1197.05,100.04
HHG-011,C11923,3583368,24h,2016-12-28 03:27:44,2016-12-29 06:27:44,32,32,0,1108.26,28.215
HHG-011,C11923,3583368,48h,2016-12-27 03:27:44,2016-12-29 06:27:44,64,64,0,2648.41,33.61
HHG-011,C11923,3583368,7d,2016-12-22 03:27:44,2016-12-29 06:27:44,272,272,0,10647.130000000001,29.23
HHG-011,C11923,3583368,30d,2016-11-29 03:27:44,2016-12-29 06:27:44,1482,1482,0,57089.59,27.375
HHG-012,C05876,3553342,24h,2016-12-17 04:00:31,2016-12-18 05:00:31,6,0,6,368.64000000000004,47.480000000000004
HHG-012,C05876,3553342,48h,2016-12-16 04:00:31,2016-12-18 05:00:31,13,0,13,684.85,39.06
HHG-012,C05876,3553342,7d,2016-12-11 04:00:31,2016-12-18 05:00:31,59,2,57,3674.27,40.03
HHG-012,C05876,3553342,30d,2016-11-18 04:00:31,2016-12-18 05:00:31,209,5,204,15450.119999999999,49.07
HHG-013,C07671,3526826,24h,2016-12-08 02:39:29,2016-12-09 05:39:29,19,1,18,1514.8,58.92
HHG-013,C07671,3526826,48h,2016-12-07 02:39:29,2016-12-09 05:39:29,26,1,25,2628.3,59.005
HHG-013,C07671,3526826,7d,2016-12-02 02:39:29,2016-12-09 05:39:29,80,2,78,7771.490000000001,58.99
HHG-013,C07671,3526826,30d,2016-11-09 02:39:29,2016-12-09 05:39:29,276,3,273,24865.83,58.97
HHG-014,C13487,3478561,24h,2016-11-21 16:11:00,2016-11-22 20:11:00,3,1,2,142.0,36.04
HHG-014,C13487,3478561,48h,2016-11-20 16:11:00,2016-11-22 20:11:00,3,1,2,142.0,36.04
HHG-014,C13487,3478561,7d,2016-11-15 16:11:00,2016-11-22 20:11:00,5,2,3,285.25,36.04
HHG-014,C13487,3478561,30d,2016-10-23 16:11:00,2016-11-22 20:11:00,17,2,15,795.4200000000001,35.88
HHG-015,C03042,3464869,24h,2016-11-16 14:03:36,2016-11-17 19:03:36,4,1,3,2140.94,550.02
HHG-015,C03042,3464869,48h,2016-11-15 14:03:36,2016-11-17 19:03:36,4,1,3,2140.94,550.02
HHG-015,C03042,3464869,7d,2016-11-10 14:03:36,2016-11-17 19:03:36,4,1,3,2140.94,550.02
HHG-015,C03042,3464869,30d,2016-10-18 14:03:36,2016-11-17 19:03:36,10,6,4,3060.86,295.505
HHG-016,C09988,3534820,24h,2016-12-10 22:39:08,2016-12-12 01:39:08,1,1,0,59.67,59.67
HHG-016,C09988,3534820,48h,2016-12-09 22:39:08,2016-12-12 01:39:08,1,1,0,59.67,59.67
